"","early_interval","interval.ma","occurrence_no","fad","lad","accepted_name","ex","phylum","class","family","paleolat","paleolng","collection_no","reference_no"
"895","Induan",251.2,938965,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108556,33502
"896","Induan",251.2,938956,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108555,33502
"897","Induan",251.2,962107,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",41.53,22.8,112761,36698
"898","Induan",251.2,1250752,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.86,36.13,165113,53993
"899","Induan",251.2,1168640,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-7.04,72.44,150472,48137
"900","Induan",251.2,1168634,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-7.04,72.44,150468,48137
"901","Induan",251.2,1170069,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",26.62,-29.89,150710,48180
"902","Induan",251.2,962249,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",20.12,108.9,112820,36705
"903","Induan",251.2,1371673,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.52,106.74,187283,62810
"904","Induan",251.2,1170140,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",26.63,-29.9,150736,48180
"905","Induan",251.2,920367,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-12.34,105.29,105114,35163
"906","Induan",251.2,987920,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118657,33700
"907","Induan",251.2,1466816,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204869,70290
"908","Induan",251.2,962088,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",41.53,22.8,112756,36698
"909","Induan",251.2,1250814,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.86,36.13,165127,53993
"910","Induan",251.2,1439807,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.75,106.83,200987,67174
"911","Induan",251.2,1424578,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197815,67172
"912","Induan",251.2,1250117,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.87,36.38,165028,53993
"913","Induan",251.2,988122,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.95,22.58,118728,33700
"914","Induan",251.2,1172460,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.77,106.56,151120,36523
"915","Induan",251.2,1160476,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-16.34,109.49,149203,36523
"916","Induan",251.2,981497,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.91,105.96,117517,29971
"917","Induan",251.2,987768,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.92,22.66,118616,33700
"918","Induan",251.2,1424612,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197834,67172
"919","Induan",251.2,987896,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118651,33700
"920","Induan",251.2,1161838,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.73,106.19,149286,36523
"921","Induan",251.2,988169,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",41.49,22.87,118746,33700
"922","Induan",251.2,882395,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",34.55,86.08,97862,33828
"923","Induan",251.2,454097,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-22.9,53.87,44792,11694
"924","Changhsingian",252.17,771681,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.35,105.29,82631,27812
"925","Induan",251.2,987803,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.67,118623,33700
"926","Induan",251.2,1159647,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.85,106.35,149114,36523
"927","Induan",251.2,987507,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.93,22.62,118519,33700
"928","Induan",251.2,949626,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.88,56.59,110796,33567
"929","Induan",251.2,1466719,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204842,70290
"930","Induan",251.2,454304,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-22.9,53.87,44832,11694
"931","Induan",251.2,955169,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117,111750,33176
"932","Induan",251.2,1159650,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.85,106.35,149116,36523
"933","Induan",251.2,938999,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108562,33502
"934","Induan",251.2,1250780,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.86,36.13,165119,53993
"935","Induan",251.2,1424598,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197823,67172
"936","Induan",251.2,962009,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",41.89,22.32,112729,36698
"937","Induan",251.2,1319493,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.35,40.84,177388,56872
"938","Induan",251.2,1250745,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.87,36.13,165109,53993
"939","Induan",251.2,938977,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108558,33502
"940","Induan",251.2,452610,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",29.71,-34.46,44494,11667
"941","Induan",251.2,1159434,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-7.27,106.76,149066,36523
"942","Induan",251.2,987484,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.94,22.61,118513,33700
"943","Induan",251.2,945750,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117,109788,33544
"944","Induan",251.2,1628936,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-36.53,54.99,230701,85277
"945","Induan",251.2,1250737,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.87,36.13,165106,53993
"946","Induan",251.2,932603,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",76.9,74.52,107041,33466
"947","Induan",251.2,939022,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108565,33502
"948","Induan",251.2,987945,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.9,22.7,118664,33700
"949","Induan",251.2,954652,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117.01,111655,36523
"950","Induan",251.2,1466795,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204866,70290
"951","Induan",251.2,495823,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-36.52,55.02,48915,13057
"952","Induan",251.2,981496,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.91,105.96,117516,29971
"953","Induan",251.2,954647,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117.01,111653,36523
"954","Induan",251.2,988116,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.69,118725,33700
"955","Induan",251.2,1226212,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.9,35.96,161083,52500
"956","Induan",251.2,882388,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",34.53,85.83,97860,33828
"957","Induan",251.2,454067,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-22.9,53.87,44784,11694
"958","Induan",251.2,1370927,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",80.31,89.35,187151,62777
"959","Induan",251.2,1160367,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",4.66,114.2,149194,36523
"960","Induan",251.2,987809,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.67,118624,33700
"961","Induan",251.2,1277327,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.14,166562,54290
"962","Induan",251.2,452648,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",26.61,-30.04,44499,11667
"963","Changhsingian",252.17,998543,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-16.04,105.72,121005,27812
"964","Induan",251.2,1160656,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.54,112.47,149223,36523
